Pixel : 
(180, 135, 160)
(235, 167, 181)
(234, 173, 184)
(228, 153, 182)
(232, 148, 191)
(231, 158, 176)
(233, 145, 190)
(230, 155, 177)
(232, 153, 190)
(230, 144, 176)
(238, 159, 188)
(224, 144, 178)
(145, 229, 227)
(227, 208, 175)
(237, 194, 167)
(220, 205, 165)
(159, 221, 169)
(221, 205, 166)
(237, 195, 169)
(226, 207, 166)
(239, 194, 168)
(224, 205, 167)
(239, 220, 168)
(224, 211, 167)
(236, 203, 203)
(226, 207, 163)
(210, 198, 173)
(221, 200, 162)
(158, 203, 201)
(222, 196, 153)
(215, 197, 148)
(216, 202, 155)
(212, 196, 154)
(213, 202, 151)
(216, 202, 159)
(215, 196, 140)
(217, 219, 162)
(214, 199, 138)
(217, 207, 133)
(214, 188, 138)
(216, 176, 220)
(214, 191, 133)
(220, 177, 143)
(206, 190, 127)
(193, 177, 113)
(205, 190, 125)
(194, 177, 114)
(206, 190, 126)
(199, 177, 117)
(202, 185, 116)
(197, 183, 123)
(202, 184, 116)
(160, 187, 200)
(239, 182, 195)
(231, 191, 177)
(232, 176, 190)
(230, 188, 176)
(232, 173, 190)
(228, 166, 182)
(234, 171, 184)
(231, 170, 183)
(232, 165, 184)
(230, 170, 183)
(233, 165, 184)
(245, 202, 225)
(171, 142, 255)
(233, 206, 187)
(170, 145, 252)
(236, 209, 190)
(170, 145, 252)
(234, 207, 188)
(168, 143, 250)
(234, 207, 186)
(168, 143, 248)
(232, 206, 183)
(166, 140, 247)
(231, 203, 181)
(167, 139, 245)
(229, 201, 179)
(165, 137, 243)
(229, 198, 178)
(165, 132, 240)
(226, 198, 177)
(163, 135, 240)
(227, 199, 177)
(162, 134, 240)
(226, 198, 176)
(160, 132, 238)
(227, 199, 175)
(161, 133, 237)
(223, 193, 169)
(156, 252, 231)
(222, 188, 163)
(159, 253, 226)
(223, 187, 163)
(158, 250, 226)
(224, 186, 163)
(161, 251, 226)
(223, 185, 162)
(159, 249, 224)
(220, 183, 157)
(154, 247, 221)
(218, 181, 155)
(152, 245, 219)
(218, 178, 153)
(153, 241, 214)
(214, 174, 149)
(151, 239, 212)
(214, 174, 148)
(150, 236, 213)
(213, 171, 146)
(151, 235, 206)
(211, 166, 137)
(147, 228, 199)
(208, 163, 132)
(143, 224, 195)
(207, 160, 130)
(143, 222, 192)
(206, 157, 127)
(139, 216, 58)
(201, 150, 121)
(138, 217, 58)
(203, 152, 123)
(137, 212, 57)
(200, 146, 118)
(134, 208, 52)
(199, 145, 117)
(135, 209, 53)
(245, 192, 233)
(233, 206, 187)
(171, 142, 253)
(236, 209, 190)
(172, 147, 254)
(235, 208, 189)
(168, 143, 248)
(232, 205, 184)
(169, 141, 246)
(231, 203, 182)
(164, 136, 242)
(228, 200, 178)
(162, 134, 240)
(227, 199, 177)
(165, 137, 243)
(228, 200, 178)
(164, 135, 243)
(229, 198, 178)
(165, 132, 241)
(229, 198, 177)
(165, 137, 243)
(229, 201, 179)
(164, 136, 242)
(229, 201, 179)
(165, 135, 239)
(226, 196, 172)
(158, 254, 231)
(221, 189, 164)
(156, 250, 227)
(221, 187, 162)
(159, 251, 227)
(222, 186, 162)
(156, 249, 223)
(221, 184, 158)
(154, 247, 221)
(218, 181, 155)
(152, 245, 219)
(215, 178, 152)
(153, 241, 214)
(216, 176, 151)
(153, 241, 214)
(214, 174, 149)
(148, 234, 211)
(212, 170, 145)
(149, 235, 208)
(215, 171, 146)
(151, 235, 208)
(214, 170, 143)
(147, 228, 201)
(209, 162, 132)
(141, 220, 62)
(200, 153, 123)
(137, 216, 58)
(201, 154, 124)
(138, 219, 61)
(201, 152, 122)
(137, 212, 57)
(200, 149, 120)
(136, 210, 54)
(198, 144, 116)
(132, 204, 51)
(197, 141, 114)
(133, 205, 48)
(194, 138, 111)
(254, 51, 235)
(173, 144, 255)
(235, 208, 189)
(173, 144, 255)
(235, 208, 189)
(166, 141, 248)
(228, 201, 180)
(162, 137, 242)
(228, 200, 179)
(165, 137, 242)
(227, 199, 177)
(163, 135, 241)
(227, 199, 177)
(165, 137, 243)
(229, 201, 179)
(167, 139, 245)
(230, 199, 178)
(167, 134, 242)
(230, 199, 178)
(167, 134, 243)
(232, 201, 180)
(169, 141, 247)
(233, 205, 183)
(173, 143, 247)
(227, 197, 173)
(160, 130, 234)
(223, 191, 166)
(157, 253, 226)
(221, 187, 162)
(157, 251, 224)
(221, 185, 161)
(156, 248, 224)
(220, 183, 157)
(154, 247, 221)
(218, 181, 155)
(152, 245, 219)
(216, 179, 153)
(153, 242, 216)
(217, 177, 152)
(153, 241, 214)
(216, 176, 151)
(150, 236, 212)
(213, 171, 146)
(151, 235, 208)
(213, 169, 144)
(149, 233, 206)
(211, 167, 142)
(146, 228, 202)
(209, 162, 134)
(143, 222, 192)
(201, 154, 124)
(132, 215, 57)
(197, 150, 120)
(136, 217, 59)
(201, 152, 122)
(137, 214, 56)
(200, 149, 120)
(134, 213, 54)
(198, 144, 116)
(130, 204, 48)
(194, 138, 111)
(128, 200, 47)
(191, 135, 108)
(252, 196, 43)
(190, 140, 228)
(233, 206, 187)
(166, 141, 248)
(231, 204, 185)
(166, 138, 247)
(229, 201, 180)
(163, 135, 240)
(226, 198, 177)
(162, 134, 240)
(227, 199, 177)
(164, 135, 240)
(229, 198, 177)
(167, 137, 241)
(230, 200, 176)
(167, 137, 241)
(231, 200, 179)
(166, 134, 243)
(230, 198, 177)
(167, 135, 240)
(230, 198, 177)
(166, 134, 241)
(232, 200, 177)
(168, 136, 243)
(233, 201, 178)
(163, 131, 234)
(224, 192, 167)
(158, 252, 229)
(221, 187, 162)
(156, 248, 222)
(220, 184, 158)
(156, 249, 223)
(221, 184, 158)
(154, 247, 221)
(218, 181, 155)
(153, 242, 216)
(216, 179, 153)
(152, 240, 217)
(217, 177, 152)
(153, 239, 212)
(215, 173, 148)
(148, 234, 211)
(215, 171, 146)
(151, 235, 208)
(214, 168, 144)
(149, 231, 207)
(210, 164, 140)
(142, 224, 198)
(206, 159, 133)
(141, 220, 192)
(203, 154, 124)
(137, 214, 56)
(197, 148, 118)
(132, 213, 55)
(199, 148, 119)
(135, 210, 55)
(196, 145, 116)
(134, 208, 52)
(198, 144, 116)
(133, 205, 48)
(193, 137, 110)
(129, 201, 44)
(191, 135, 108)
(255, 196, 43)
(187, 130, 103)
(255, 49, 237)
(163, 134, 245)
(225, 198, 179)
(163, 134, 245)
(228, 200, 179)
(165, 137, 242)
(227, 199, 178)
(163, 135, 240)
(227, 199, 177)
(162, 134, 240)
(230, 199, 178)
(167, 134, 243)
(229, 199, 175)
(165, 135, 239)
(227, 197, 173)
(163, 133, 237)
(227, 195, 174)
(163, 131, 236)
(226, 194, 173)
(160, 128, 235)
(225, 193, 170)
(160, 128, 235)
(223, 191, 168)
(159, 255, 228)
(222, 190, 165)
(159, 253, 226)
(220, 186, 161)
(154, 246, 220)
(218, 182, 156)
(155, 247, 221)
(218, 181, 155)
(155, 244, 218)
(217, 180, 154)
(153, 242, 216)
(214, 177, 151)
(148, 241, 215)
(214, 174, 149)
(148, 236, 213)
(211, 169, 144)
(144, 230, 207)
(208, 164, 139)
(145, 229, 202)
(210, 164, 140)
(144, 226, 202)
(208, 162, 138)
(143, 223, 198)
(203, 156, 130)
(138, 216, 63)
(200, 151, 121)
(134, 215, 57)
(197, 148, 118)
(130, 211, 53)
(196, 145, 116)
(130, 209, 50)
(192, 141, 112)
(253, 200, 45)
(191, 137, 109)
(254, 200, 44)
(191, 135, 108)
(252, 196, 43)
(189, 133, 106)
(253, 197, 40)
(187, 130, 103)
(248, 193, 36)
(239, 58, 217)
(227, 198, 180)
(160, 132, 241)
(227, 199, 178)
(167, 139, 244)
(230, 202, 181)
(167, 134, 243)
(228, 197, 176)
(165, 132, 241)
(228, 197, 176)
(165, 133, 236)
(228, 196, 173)
(162, 130, 237)
(226, 194, 171)
(160, 128, 235)
(224, 192, 169)
(161, 252, 230)
(224, 189, 167)
(161, 252, 230)
(225, 190, 168)
(161, 252, 230)
(223, 189, 164)
(157, 251, 224)
(218, 184, 159)
(154, 248, 225)
(218, 182, 156)
(153, 245, 219)
(216, 179, 153)
(153, 242, 216)
(215, 178, 151)
(152, 240, 214)
(216, 176, 150)
(151, 240, 215)
(213, 176, 149)
(148, 236, 210)
(213, 173, 147)
(148, 234, 211)
(211, 169, 144)
(144, 228, 205)
(207, 163, 138)
(140, 222, 196)
(205, 159, 133)
(143, 222, 196)
